date,character,asset_type,issue_key,issue,cause,mitigation,reusable_rule,policy_ref,check_ref,promotion_level,related_path
2026-05-26,project,browser_automation,browser-automation-bundled-runtime-path,playwright.exe is installed outside PATH when using bundled Python,Workspace tools rely on the bundled runtime instead of a system Python installation,Call Playwright through the bundled python executable or repo script instead of assuming PATH is configured,Prefer explicit bundled-runtime commands in docs and smoke-check automation,docs/browser_automation.md,tools/browser_smoke_check.py,policy,C:\Users\cyz19\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\Scripts
2026-05-25,project,content_preservation,content-preservation-short-showcase,current index looks shorter than first version,The current index became a lightweight showcase and no longer duplicates all first-version paragraphs,Keep the first full guide under docs and expose it through content_map links,Do not treat a shorter generated index as content deletion before checking docs/content_map.md,docs/content_map.md,tools/audit_project_links.py,policy,docs/content_map.md
2026-05-25,project,knowledge_hierarchy,knowledge-hierarchy-structured-pages,old archive content is hard to find from a single showcase page,Aesthetic showcase pages cannot carry dense story prompt and workflow material,Use project_data/knowledge_base.json to generate knowledge pages that link back to old archive anchors,Separate display pages from knowledge pages and keep source anchors visible,docs/content_map.md,tools/build_project_html.py,policy,project_data/knowledge_base.json
2026-05-25,project,html_reading,html-reading-progressive-single-page,large HTML pages waste context and mix content with decoration,Raw generated HTML includes navigation CSS image tags and layout scaffolding,Use project-doc-governance read_html_doc.py to inspect one page or anchor with image placeholders first,Read HTML progressively and open real images only when visual inspection is required,docs/document_governance.md,skills/project-doc-governance/scripts/read_html_doc.py,policy,skills/project-doc-governance/scripts/read_html_doc.py
2026-05-25,project,knowledge_navigation,knowledge-navigation-dedicated-page,old #navigation was only an archive anchor not a structured page,Knowledge index linked content pages but did not explain reading routes or module mapping,Add knowledge/navigation.html as the first knowledge page and map #overview/#navigation to it,Give navigation its own generated page before deep content pages,docs/content_map.md,tools/build_project_html.py,policy,project_data/knowledge_base.json
2026-05-26,project,harness_runs,harness-local-timestamp-ordering,wrapper run directories sorted incorrectly when UTC and local timestamps were mixed,run_harness_task.py used UTC while harness_cli.py and prior runs used local timestamps,Use one local timestamp convention for run directory names across local wrapper and CLI,Keep harness run timestamps in one clock domain so latest-report selection stays stable,docs/harness_ci.md,tools/run_harness_task.py,policy,tools/run_harness_task.py
2026-05-26,project,docs_mirror,terminal-utf8-mirror-false-garbled,powershell direct output can make UTF-8 Markdown mirrors look garbled even when files are correct,The terminal code page and text rendering differ from Python UTF-8 file reads and can create a false corruption signal,Verify mirror files with Python UTF-8 reads or editor inspection before changing generators,Do not treat garbled terminal preview as file corruption until a UTF-8-aware reader confirms it,docs/document_governance.md,tools/build_html_markdown_mirror.py,policy,docs_mirror/knowledge/navigation.md
2026-05-26,project,skills,skill-selection-raw-tool-drift,agents can drift into raw tool-by-tool execution when reusable repo-local skills exist but are not foregrounded,Entry docs and workflow docs can make tools visible before the matching skill route is explicit,Add a single skill navigation doc and link it high in the reading chain,Prefer the narrowest matching repo-local skill before reading raw workflows or manually chaining repeated tools,docs/skill_navigation.md,skills/project-doc-governance/SKILL.md,policy,docs/skill_navigation.md
2026-05-26,project,crop_review,crop-review-priority-first,trying to perfect every crop before generation wastes time and expands scope,Many crops are usable as working handles even when they are not perfect and only a subset clearly harms generation quality,Run a lightweight crop review board and fix only obvious failures before generation while keeping full-sheet fallback for the rest,Review crops by priority and reserve deep crop refactors for repeated generation failures,workflows/asset_generation_workflow.md,tools/build_crop_review.py,policy,logs/crop_review/index.html
2026-05-26,project,asset_generation,chroma-key-near-magenta-not-exact,built-in image generation can return a near-magenta background instead of exact #ff00ff,The model may introduce slight color variation even when prompted for a flat chroma key,Use border or corner auto-key sampling with soft matte removal and verify transparent corners before accepting the asset,Do not rely on exact hex matching alone for generated chroma backgrounds; auto-sample the key and validate alpha corners,workflows/asset_generation_workflow.md,C:\Users\cyz19\.codex\skills\.system\imagegen\scripts\remove_chroma_key.py,policy,assets/characters/arisu/generated/chroma/props/rabbit-charm-v1.png
2026-05-26,project,asset_generation,style-anchor-under-specified,batch asset prompts can drift when they only include object identity and weak style phrases,Bare phrases like anime prop design are not enough to preserve line weight rendering material treatment and mood across many generated assets,Add global and character-specific style anchors to every generation prompt before the asset-slot instructions,Every generated image prompt must include global style anchor character style anchor asset request composition constraints negative constraints and chroma-key output rule,prompts/character_sheet_prompt_notes.md,skills/character-asset-production/references/asset_production.md,policy,assets/characters/qingyou/prompts/asset_prompts.md
2026-05-26,project,external_image_api,yunwu-key-bound-to-yunwu-ai-base-url,the same external image key can work on https://yunwu.ai but fail on https://api.yunwu.cloud with 403,Provider keys may be scoped to one base URL or gateway even when docs mention multiple proxy addresses,Smoke-test the exact key and base URL before batch generation and store only sanitized reports,Use https://yunwu.ai as the default for this key unless a later smoke test proves another base URL works,workflows/asset_generation_workflow.md,tools/yunwu_api_smoke.py,policy,logs/yunwu_smoke/latest.json
2026-05-26,project,external_image_api,yunwu-billing-api-not-found,common OpenAI-style billing endpoints did not return usable balance or cost data for this key,The provider documentation exposes web-based quota query pages but not a stable OpenAI-compatible billing API in the tested routes,Do not block generation on automated balance lookup; use sanitized smoke reports and provider web query or dashboard for manual spend checks,Do not assume /v1/billing/usage or /v1/dashboard/billing/credit_grants exists for Yunwu keys,workflows/asset_generation_workflow.md,tools/yunwu_api_smoke.py,policy,logs/yunwu_smoke/latest.json
2026-05-26,project,external_image_api,prompt-hard-truncation-dropped-chroma-rule,hard truncating image prompts can remove the final #ff00ff background rule and produce a wrong key color,The first edit smoke prompt was cut at 1000 characters and ended before the chroma-key instruction completed,Build prompts from source Markdown sections without hard truncation and keep output constraints at the end,Never truncate generated asset prompts in a way that can remove chroma background constraints,prompts/character_sheet_prompt_notes.md,tools/yunwu_generate_assets.py,verify,assets/characters/qingyou/generated/rejected/bookmark-v1-yellow-key-smoke-chroma.png
2026-05-26,project,external_image_api,batch-report-self-reference,report serialization can fail if an attempt list contains the same dict that receives the attempt list,The first 5-concurrency report attached attempts to the final attempt object itself,Return a shallow report copy and attach copied attempt dictionaries before JSON serialization,Do not insert a container into an object already inside that container,tools/yunwu_generate_assets.py,tools/yunwu_generate_assets.py,verify,logs/yunwu_batches/reference-edit-5x/recovered_report.json
2026-05-26,project,web_assets,asset-image-fit-clipped-wide-pngs,generated PNGs with wide or tall aspect ratios can be clipped in square asset tiles,img height-only sizing made landscape images wider than the tile and overflow hidden clipped them,Set both width and height to 100 percent with object-fit contain and max dimensions,Asset preview images must fit both axes inside their tile before overflow is hidden,assets/styles/luo_sisters.css,tools/build_project_html.py,policy,logs/browser-assets.png
